country,company,wiki_url
Africa,All Joy Foods,https://en.wikipedia.org/wiki/All_Joy_Foods
Africa,Bakers,https://en.wikipedia.org/wiki/Bakers_(bakery)
Africa,BOS Ice Tea,https://en.wikipedia.org/wiki/BOS_Ice_Tea
Africa,Cevital,https://en.wikipedia.org/wiki/Cevital
Africa,Choppies,https://en.wikipedia.org/wiki/Choppies
Africa,Clover,https://en.wikipedia.org/wiki/Clover_Industries
Africa,Colcom Foods,https://en.wikipedia.org/wiki/Colcom_Foods
Africa,Distell Group Limited,https://en.wikipedia.org/wiki/Distell_Group_Limited
Africa,Famous Brands,https://en.wikipedia.org/wiki/Famous_Brands
Africa,Golden Web,https://en.wikipedia.org/wiki/Golden_Web_(company)
Africa,Kenya Wine Agencies Limited,https://en.wikipedia.org/wiki/Kenya_Wine_Agencies_Limited
Africa,Les Domaines Agricoles,https://en.wikipedia.org/wiki/Les_Domaines_Agricoles
Africa,Meat Corporation of Namibia,https://en.wikipedia.org/wiki/Meat_Corporation_of_Namibia
Africa,Melcom,https://en.wikipedia.org/wiki/Melcom
Africa,Nile Breweries Limited,https://en.wikipedia.org/wiki/Nile_Breweries_Limited
Africa,Pioneer Foods,https://en.wikipedia.org/wiki/Pioneer_Foods
Africa,SOMED,https://en.wikipedia.org/wiki/SOMED
Africa,Spur Corporation,https://en.wikipedia.org/wiki/Spur_Corporation
Africa,Tiger Brands,https://en.wikipedia.org/wiki/Tiger_Brands
Africa,Tilda Uganda,https://en.wikipedia.org/wiki/Tilda_Uganda
Africa,Tongaat Hulett,https://en.wikipedia.org/wiki/Tongaat_Hulett
Argentina,Grupo Arcor,https://en.wikipedia.org/wiki/Grupo_Arcor
Argentina,Havanna,https://en.wikipedia.org/wiki/Havanna_(Argentine_company)
Argentina,La Serenísima,https://en.wikipedia.org/wiki/La_Seren%C3%ADsima
Argentina,Molinos Río de la Plata,https://en.wikipedia.org/wiki/Molinos_R%C3%ADo_de_la_Plata
Argentina,SanCor,https://en.wikipedia.org/wiki/SanCor
Australia,The a2 Milk Company,https://en.wikipedia.org/wiki/The_a2_Milk_Company
Australia,Arnott's Group,https://en.wikipedia.org/wiki/Arnott%27s_Group
Australia,Baiada Poultry,https://en.wikipedia.org/wiki/Baiada_Poultry
Australia,Bakers Delight,https://en.wikipedia.org/wiki/Bakers_Delight
Australia,Balfours,https://en.wikipedia.org/wiki/Balfours
Australia,Baskin-Robbins Australia,https://en.wikipedia.org/wiki/Baskin-Robbins_Australia
Australia,Beerenberg Farm,https://en.wikipedia.org/wiki/Beerenberg_Farm
Australia,Bega Cheese,https://en.wikipedia.org/wiki/Bega_Cheese
Australia,Bellamy's Australia,https://en.wikipedia.org/wiki/Bellamy%27s_Australia
Australia,Bickford's Australia,https://en.wikipedia.org/wiki/Bickford%27s_Australia
Australia,Boost Juice,https://en.wikipedia.org/wiki/Boost_Juice
Australia,Breadtop,https://en.wikipedia.org/wiki/Breadtop
Australia,Brooklyn Boy Bagels,https://en.wikipedia.org/wiki/Brooklyn_Boy_Bagels
Australia,Bulla Dairy Foods,https://en.wikipedia.org/wiki/Bulla_Dairy_Foods
Australia,Bundaberg Brewed Drinks,https://en.wikipedia.org/wiki/Bundaberg_Brewed_Drinks
Australia,Camperdown Dairy International,https://en.wikipedia.org/wiki/Camperdown_Dairy_International
Australia,Canberra Milk,https://en.wikipedia.org/wiki/Canberra_Milk
Australia,Darrell Lea,https://en.wikipedia.org/wiki/Darrell_Lea
Australia,Dick Smith Foods,https://en.wikipedia.org/wiki/Dick_Smith_Foods
Australia,Ernest Hillier Chocolates,https://en.wikipedia.org/wiki/Ernest_Hillier_Chocolates
Australia,Ferguson Plarre Bakehouses,https://en.wikipedia.org/wiki/Ferguson_Plarre_Bakehouses
Australia,Frosty Boy,https://en.wikipedia.org/wiki/Frosty_Boy
Australia,Haigh's Chocolates,https://en.wikipedia.org/wiki/Haigh%27s_Chocolates
Australia,Huon Aquaculture,https://en.wikipedia.org/wiki/Huon_Aquaculture
Australia,Inghams Enterprises,https://en.wikipedia.org/wiki/Inghams_Enterprises
Australia,Isis Central Sugar Mill,https://en.wikipedia.org/wiki/Isis_Central_Sugar_Mill
Australia,Lion Dairy & Drinks,https://en.wikipedia.org/wiki/Lion_Dairy_%26_Drinks
Australia,Mrs Mac's Pies,https://en.wikipedia.org/wiki/Mrs_Mac%27s_Pies
Australia,Murray Goulburn Co-operative,https://en.wikipedia.org/wiki/Murray_Goulburn_Co-operative
Australia,Norco Co-operative,https://en.wikipedia.org/wiki/Norco_Co-operative
Australia,Nuttelex,https://en.wikipedia.org/wiki/Nuttelex
Australia,Patties Foods,https://en.wikipedia.org/wiki/Patties_Foods
Australia,Retail Food Group,https://en.wikipedia.org/wiki/Retail_Food_Group
Australia,San Remo Macaroni Company,https://en.wikipedia.org/wiki/San_Remo_Macaroni_Company
