country,company,wiki_url,official_sites,status_note
Africa,All Joy Foods,https://en.wikipedia.org/wiki/All_Joy_Foods,http://www.alljoy.co.za,Confirmed
Africa,Bakers,https://en.wikipedia.org/wiki/Bakers_(bakery),http://www.bakers.co.za,Confirmed
Africa,BOS Ice Tea,https://en.wikipedia.org/wiki/BOS_Ice_Tea,http://www.bosbrands.com,Confirmed
Africa,Cevital,https://en.wikipedia.org/wiki/Cevital,http://www.cevital.com,Confirmed
Africa,Choppies,https://en.wikipedia.org/wiki/Choppies,https://choppiesgroup.com/,Confirmed
Africa,Clover,https://en.wikipedia.org/wiki/Clover_Industries,,
Africa,Colcom Foods,https://en.wikipedia.org/wiki/Colcom_Foods,https://web.archive.org/web/20180419011800/http://www.colcomfoods.com/,Confirmed
Africa,Distell Group Limited,https://en.wikipedia.org/wiki/Distell_Group_Limited,,
Africa,Famous Brands,https://en.wikipedia.org/wiki/Famous_Brands,http://www.famousbrands.co.za,Confirmed
Africa,Golden Web,https://en.wikipedia.org/wiki/Golden_Web_(company),http://goldenwebgh.com/gweb/index_us.html,Confirmed
Africa,Kenya Wine Agencies Limited,https://en.wikipedia.org/wiki/Kenya_Wine_Agencies_Limited,http://www.kwal.co.ke/,Confirmed
Africa,Les Domaines Agricoles,https://en.wikipedia.org/wiki/Les_Domaines_Agricoles,http://www.lesdomainesagricoles.com,Confirmed
Africa,Meat Corporation of Namibia,https://en.wikipedia.org/wiki/Meat_Corporation_of_Namibia,https://www.meatco.com.na/,Confirmed
Africa,Melcom,https://en.wikipedia.org/wiki/Melcom,,
Africa,Nile Breweries Limited,https://en.wikipedia.org/wiki/Nile_Breweries_Limited,,
Africa,Pioneer Foods,https://en.wikipedia.org/wiki/Pioneer_Foods,,
Africa,SOMED,https://en.wikipedia.org/wiki/SOMED,,
Africa,Spur Corporation,https://en.wikipedia.org/wiki/Spur_Corporation,https://spurmenucoza.com/,Confirmed
Africa,Tiger Brands,https://en.wikipedia.org/wiki/Tiger_Brands,,
Africa,Tilda Uganda,https://en.wikipedia.org/wiki/Tilda_Uganda,http://www.tilda.com/,Confirmed
Africa,Tongaat Hulett,https://en.wikipedia.org/wiki/Tongaat_Hulett,http://www.tongaat.com,Confirmed
Argentina,Grupo Arcor,https://en.wikipedia.org/wiki/Grupo_Arcor,https://www.arcor.com/ar/,Confirmed
Argentina,Havanna,https://en.wikipedia.org/wiki/Havanna_(Argentine_company),https://www.havanna.com.ar/,Confirmed
Argentina,La Serenísima,https://en.wikipedia.org/wiki/La_Seren%C3%ADsima,https://www.laserenisima.com.ar/,Confirmed
Argentina,Molinos Río de la Plata,https://en.wikipedia.org/wiki/Molinos_R%C3%ADo_de_la_Plata,,
Argentina,SanCor,https://en.wikipedia.org/wiki/SanCor,http://www.sancor.com.ar/,Confirmed
Australia,The a2 Milk Company,https://en.wikipedia.org/wiki/The_a2_Milk_Company,https://thea2milkcompany.com,Confirmed
Australia,Arnott's Group,https://en.wikipedia.org/wiki/Arnott%27s_Group,http://www.arnotts.com.au/,Confirmed
Australia,Baiada Poultry,https://en.wikipedia.org/wiki/Baiada_Poultry,https://www.baiada.com.au/,Confirmed
Australia,Bakers Delight,https://en.wikipedia.org/wiki/Bakers_Delight,https://www.bakersdelight.com.au/,Confirmed
Australia,Balfours,https://en.wikipedia.org/wiki/Balfours,https://balfours.com.au/,Confirmed
Australia,Baskin-Robbins Australia,https://en.wikipedia.org/wiki/Baskin-Robbins_Australia,https://www.baskinrobbins.com/en,Confirmed
Australia,Beerenberg Farm,https://en.wikipedia.org/wiki/Beerenberg_Farm,http://www.beerenberg.com.au/,Confirmed
Australia,Bega Cheese,https://en.wikipedia.org/wiki/Bega_Cheese,http://www.begacheese.com.au/,Confirmed
Australia,Bellamy's Australia,https://en.wikipedia.org/wiki/Bellamy%27s_Australia,,
Australia,Bickford's Australia,https://en.wikipedia.org/wiki/Bickford%27s_Australia,http://www.bickfords.net/,Confirmed
Australia,Boost Juice,https://en.wikipedia.org/wiki/Boost_Juice,http://www.boostjuicebars.com.au,Confirmed
Australia,Breadtop,https://en.wikipedia.org/wiki/Breadtop,http://www.breadtop.com.au,Confirmed
Australia,Brooklyn Boy Bagels,https://en.wikipedia.org/wiki/Brooklyn_Boy_Bagels,,
Australia,Bulla Dairy Foods,https://en.wikipedia.org/wiki/Bulla_Dairy_Foods,,
Australia,Bundaberg Brewed Drinks,https://en.wikipedia.org/wiki/Bundaberg_Brewed_Drinks,http://www.bundaberg.com,Confirmed
Australia,Camperdown Dairy International,https://en.wikipedia.org/wiki/Camperdown_Dairy_International,,
Australia,Canberra Milk,https://en.wikipedia.org/wiki/Canberra_Milk,http://canberramilk.com.au,Confirmed
Australia,Darrell Lea,https://en.wikipedia.org/wiki/Darrell_Lea,,
Australia,Dick Smith Foods,https://en.wikipedia.org/wiki/Dick_Smith_Foods,https://web.archive.org/web/20230324065859/http://www.dicksmithfoods.com.au/,Confirmed
Australia,Ernest Hillier Chocolates,https://en.wikipedia.org/wiki/Ernest_Hillier_Chocolates,,
Australia,Ferguson Plarre Bakehouses,https://en.wikipedia.org/wiki/Ferguson_Plarre_Bakehouses,,
Australia,Frosty Boy,https://en.wikipedia.org/wiki/Frosty_Boy,,
Australia,Haigh's Chocolates,https://en.wikipedia.org/wiki/Haigh%27s_Chocolates,https://www.haighschocolates.com.au/,Confirmed
Australia,Huon Aquaculture,https://en.wikipedia.org/wiki/Huon_Aquaculture,http://huonaqua.com.au,Confirmed
Australia,Inghams Enterprises,https://en.wikipedia.org/wiki/Inghams_Enterprises,https://inghams.com.au/,Confirmed
Australia,Isis Central Sugar Mill,https://en.wikipedia.org/wiki/Isis_Central_Sugar_Mill,,
Australia,Lion Dairy & Drinks,https://en.wikipedia.org/wiki/Lion_Dairy_%26_Drinks,http://www.begacheese.com.au/,Confirmed
Australia,Mrs Mac's Pies,https://en.wikipedia.org/wiki/Mrs_Mac%27s_Pies,http://www.mrsmacs.com.au/,Confirmed
Australia,Murray Goulburn Co-operative,https://en.wikipedia.org/wiki/Murray_Goulburn_Co-operative,http://www.mgc.com.au/,Confirmed
Australia,Norco Co-operative,https://en.wikipedia.org/wiki/Norco_Co-operative,,
Australia,Nuttelex,https://en.wikipedia.org/wiki/Nuttelex,https://www.nuttelex.com/,Confirmed
Australia,Patties Foods,https://en.wikipedia.org/wiki/Patties_Foods,https://www.pattiesfoodgroup.com/,Confirmed
Australia,Retail Food Group,https://en.wikipedia.org/wiki/Retail_Food_Group,http://www.rfg.com.au,Confirmed
Australia,San Remo Macaroni Company,https://en.wikipedia.org/wiki/San_Remo_Macaroni_Company,https://sanremo.com.au/,Confirmed
Australia,Sanitarium,https://en.wikipedia.org/wiki/Sanitarium_Health_Food_Company,,
Australia,Schweppes Australia,https://en.wikipedia.org/wiki/Schweppes_Australia,https://www.asahibeverages.com/,Confirmed
Australia,Snack Brands Australia,https://en.wikipedia.org/wiki/Snack_Brands_Australia,http://snackbrands.com.au/,Confirmed
Australia,So Natural,https://en.wikipedia.org/wiki/So_Natural_(brand),https://web.archive.org/web/20120328064511/http://freedomfoods.stagingserver.com.au/A-Bit-About-Us/Our-Brands/So-Natural.aspx,Confirmed
Australia,Sustagen,https://en.wikipedia.org/wiki/Sustagen,http://www.sustagen.com.au/,Confirmed
Australia,Tassal,https://en.wikipedia.org/wiki/Tassal,http://www.tassal.com.au/,Confirmed
Australia,Thomas Foods International,https://en.wikipedia.org/wiki/Thomas_Foods_International,,
Australia,Three Threes Condiments,https://en.wikipedia.org/wiki/Three_Threes_Condiments,http://www.threethrees.com.au/,Confirmed
Australia,Warrnambool Cheese and Butter,https://en.wikipedia.org/wiki/Warrnambool_Cheese_and_Butter,http://www.wcbf.com.au/,Confirmed
Australia,Weis,https://en.wikipedia.org/wiki/Weis_(frozen_foods_company),http://www.weis.com.au/,Confirmed
Australia,Wendy's Supa Sundaes,https://en.wikipedia.org/wiki/Wendy%27s_Supa_Sundaes,https://wendysmilkbar.com/,Confirmed
Australia,Wesfarmers,https://en.wikipedia.org/wiki/Wesfarmers,http://www.wesfarmers.com.au/,Confirmed
Austria,Agrana,https://en.wikipedia.org/wiki/Agrana,https://www.agrana.com/en/,Confirmed
Austria,Brauerei Ottakringer,https://en.wikipedia.org/wiki/Brauerei_Ottakringer,http://www.ottakringer.at,Confirmed
Austria,Do & Co,https://en.wikipedia.org/wiki/Do_%26_Co,http://www.doco.com,Confirmed
Austria,Julius Meinl,https://en.wikipedia.org/wiki/Julius_Meinl,https://juliusmeinl.com/,Confirmed
Austria,Manner,https://en.wikipedia.org/wiki/Manner_(confectionery),,
Austria,Pez,https://en.wikipedia.org/wiki/Pez,https://www.pez.at,Confirmed
Austria,Rauch,https://en.wikipedia.org/wiki/Rauch_(company),https://www.rauch.cc/,Confirmed
Austria,Red Bull GmbH,https://en.wikipedia.org/wiki/Red_Bull_GmbH,http://www.redbull.com,Confirmed
Azerbaijan,Bahra Biscuit Factory,https://en.wikipedia.org/wiki/Bahra_Biscuit_Factory,,
Azerbaijan,Shollar water,https://en.wikipedia.org/wiki/Shollar_water,,
Azerbaijan,Vinagro,https://en.wikipedia.org/wiki/Vinagro,,
Bangladesh,Kazi Farms Group,https://en.wikipedia.org/wiki/Kazi_Farms_Group,,
Bangladesh,Meghna Group of Industries,https://en.wikipedia.org/wiki/Meghna_Group_of_Industries,,
Bangladesh,PRAN-RFL Group,https://en.wikipedia.org/wiki/PRAN-RFL_Group,,
Belgium,Anheuser-Busch InBev,https://en.wikipedia.org/wiki/Anheuser-Busch_InBev,https://www.ab-inbev.com/,Confirmed
Belgium,Cavalier Chocolate,https://en.wikipedia.org/wiki/Cavalier_Chocolate,,
Belgium,Confiserie Roodthooft,https://en.wikipedia.org/wiki/Confiserie_Roodthooft,http://www.roodthooft.be,Confirmed
Belgium,Delhaize Group,https://en.wikipedia.org/wiki/Delhaize_Group,,
Belgium,Duc d'O,https://en.wikipedia.org/wiki/Duc_d%27O,,
Belgium,Glacio,https://en.wikipedia.org/wiki/Glacio,http://www.glacio.be/,Confirmed
