country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary
Africa,All Joy Foods,https://en.wikipedia.org/wiki/All_Joy_Foods,http://www.alljoy.co.za,,Confirmed,"All Joy Foods Limited is a South African manufacturer of condiments and tomato sauce. The company was founded in 1987 by Marci Pather after he successfully raised R135 thousand. Its first plant was opened in Newtown, a suburb of Johannesburg, and its first product was tomato sauce. All Joy is South ..."
Africa,Bakers,https://en.wikipedia.org/wiki/Bakers_(bakery),http://www.bakers.co.za,,Confirmed,"Bakers Limited, commonly known as Bakers, is a South African food manufacturing company that produces a wide variety of savoury and sweet biscuits. Bakers is part of National Brands Limited, an FMCG company which is a subsidiary of South African holding company AVI Limited. Bakers products are manuf..."
Africa,BOS Ice Tea,https://en.wikipedia.org/wiki/BOS_Ice_Tea,http://www.bosbrands.com,,Confirmed,"BOS is a South African based ice tea brand that uses organic rooibos as the primary ingredient. The company was established by Grant Rushmere and Richard Bowsher, a rooibos tea farmer and an entrepreneur, respectively. The initial selection of ice teas was introduced in June 2010. BOS's headquarters..."
Africa,Cevital,https://en.wikipedia.org/wiki/Cevital,http://www.cevital.com,,Confirmed,"Cevital is the largest private conglomerate in Algeria, with interests in the agri-food sector, retail, industry and services, created by Issad Rebrab. The company's headquarters are in Kouba, Algeria. Cevital is a founding member of the Desertec project. The company's earnings in 2009 were US$3,589..."
Africa,Choppies,https://en.wikipedia.org/wiki/Choppies,https://choppiesgroup.com/,,Confirmed,"Choppies Enterprises Limited is a Botswana multinational supermarket retailer headquartered in Gaborone, Botswana. The retailer initially sold only food-based goods (both fresh groceries and wholesale long-life foods) and other fast-moving consumer goods. By 2024, Choppies had 161 stores in 4 countr..."
Africa,Clover,https://en.wikipedia.org/wiki/Clover_Industries,,,Manual Check Required,"Clover Industries Limited (""Group"" and/or ""Clover"") is a branded foods and beverages group that used to be listed on the main board of the Johannesburg Stock Exchange. The company was delisted after a takeover by Milco, led by the Central Bottling Company from Israel."
Africa,Colcom Foods,https://en.wikipedia.org/wiki/Colcom_Foods,https://web.archive.org/web/20180419011800/http://www.colcomfoods.com/,,Confirmed,"Colcom Foods Limited is a long established meat-processing company in Zimbabwe. Products under the Colcom brand include: fresh pork, hams, bacons, fresh and cooked sausages, pies, cooked cold meat, and polonies. It also has Colcom country style boerewors, Colcom chipolata sausages, Colcom park lion ..."
Africa,Distell Group Limited,https://en.wikipedia.org/wiki/Distell_Group_Limited,,http://www.distell.co.za/,Potential,"Distell Group Limited, commonly referred to as Distell, was a multinational brewing and beverage company, based in South Africa. On April 26, 2023, Distell was acquired by Heineken. After that, its operations were integrated into Heineken Beverages, a company created by the merger of its South Afric..."
Africa,Famous Brands,https://en.wikipedia.org/wiki/Famous_Brands,http://www.famousbrands.co.za,,Confirmed,"Famous Brands (formerly known as Steers Group) is a South African-based conglomerate predominantly dealing in fast casual restaurants, and is currently headquartered in Midrand. Founded in 1960, the company operates around 3,000 locations across 30 countries, and listed on the JSE Limited in 1994. I..."
Africa,Golden Web,https://en.wikipedia.org/wiki/Golden_Web_(company),http://goldenwebgh.com/gweb/index_us.html,,Confirmed,"Golden Web is a Ghanaian food company. They are listed on the stock index of the Ghana Stock Exchange, the GSE All-Share Index. It formed on May 5, 1982."
